oid	kind	category	name	args	return	comment	file
58341	f	lookup	get_player_online_state_within_grace_period_for_each_server		TABLE(fls_id text, previous_partition_id bigint, current_server_id text, online_status dune.playerconnectionstatus, within_grace_period boolean, last_disconnect timestamp without time zone, demo_playtime_seconds integer, logoff_persistence_end_time timestamp without time zone, party_id bigint)		functions/lookup/get_player_online_state_within_grace_period_for_each_server__0args.sql
58342	f	vehicle	get_player_owned_vehicles_data	in_player_id bigint, in_account_id bigint	TABLE(out_actor_id bigint, out_name text, out_class text, out_map text, out_partition_id bigint, out_dimension integer, out_transform dune.transform, out_actor_state text)		functions/vehicle/get_player_owned_vehicles_data__2args.sql
58343	f	lookup	get_player_partition_id	in_fls_id text	bigint		functions/lookup/get_player_partition_id__1args.sql
58344	f	lookup	get_player_pawn	in_account_id bigint	TABLE(description dune.actordescription, server_info dune.serverinfo, player_tags text[])		functions/lookup/get_player_pawn__1args.sql
58345	f	currency	get_player_virtual_currency_balances	in_controller_id bigint	TABLE(out_currency_id smallint, out_currency_balance bigint)		functions/currency/get_player_virtual_currency_balances__1args.sql
58346	f	lookup	get_players_demo_data	in_controller_ids bigint[]	SETOF dune.playerdemostatedescription		functions/lookup/get_players_demo_data__1args.sql
58347	f	items_purge	get_recipes_to_remove	recipes_to_remove text[]	text[]		functions/items_purge/get_recipes_to_remove__1args.sql
58348	f	actors	get_registered_spawned_actor	in_spawner_id bigint	SETOF bigint		functions/actors/get_registered_spawned_actor__1args.sql
58349	f	spawner	get_respawn_locations	in_account_id bigint	dune.respawnlocation[]		functions/spawner/get_respawn_locations__1args.sql
58350	f	schema_meta	get_schema_version		integer		functions/schema_meta/get_schema_version__0args.sql
58351	f	currency	get_solaris_id		smallint		functions/currency/get_solaris_id__0args.sql
58352	f	spawner	get_spawner_id	in_map text, in_name text, in_dimension_index integer	bigint		functions/spawner/get_spawner_id__3args.sql
58353	f	encryption	get_stored_user_data_encryption_key_hash		bytea		functions/encryption/get_stored_user_data_encryption_key_hash__0args.sql
58354	f	encryption	get_stored_user_data_encryption_status		dune.userdataencryptionstatus		functions/encryption/get_stored_user_data_encryption_status__0args.sql
58355	f	encryption	get_stored_user_data_encryption_taint_xmax		bigint		functions/encryption/get_stored_user_data_encryption_taint_xmax__0args.sql
58356	f	misc	get_sub_inventory_id	in_owner_item_id bigint	bigint		functions/misc/get_sub_inventory_id__1args.sql
58357	f	lookup	get_traveling_actor_id_and_types	in_actor_id bigint	TABLE(id bigint, is_instigator boolean, is_player boolean, level integer)		functions/lookup/get_traveling_actor_id_and_types__1args.sql
58358	f	lookup	get_traveling_actor_ids	in_actor_id bigint, in_max_recursion_level integer	TABLE(id bigint, is_instigator boolean, level integer)		functions/lookup/get_traveling_actor_ids__2args.sql
58359	f	lookup	get_traveling_actors_fls_ids	in_actor_id bigint	TABLE(out_id text)		functions/lookup/get_traveling_actors_fls_ids__1args.sql
58360	f	lookup	get_traveling_non_player_actor_ids	in_actor_id bigint	TABLE(id bigint)		functions/lookup/get_traveling_non_player_actor_ids__1args.sql
58361	f	vehicle	get_unbacked_up_vehicle_ids_for_account	in_account_id bigint	TABLE(vehicle_id bigint)		functions/vehicle/get_unbacked_up_vehicle_ids_for_account__1args.sql
